accountId,ownerId,fullName,email,phone,role,kycStatus,accountType,balance,currency
racc0001,ruser001,Do Thi K,receiver001@example.com,0911000001,CUSTOMER,VERIFIED,CHECKING,8200000,VND
racc0002,ruser002,Do Thi L,receiver002@example.com,0911000002,CUSTOMER,VERIFIED,SAVING,10500000,VND
racc0003,ruser003,Do Thi M,receiver003@example.com,0911000003,CUSTOMER,VERIFIED,CHECKING,9400000,VND
racc0004,ruser004,Do Thi N,receiver004@example.com,0911000004,CUSTOMER,VERIFIED,CHECKING,7200000,VND
racc0005,ruser005,Do Thi O,receiver005@example.com,0911000005,CUSTOMER,VERIFIED,SAVING,12300000,VND
racc0006,ruser006,Do Thi P,receiver006@example.com,0911000006,CUSTOMER,VERIFIED,CHECKING,8800000,VND
racc0007,ruser007,Do Thi Q,receiver007@example.com,0911000007,CUSTOMER,VERIFIED,CHECKING,6500000,VND
racc0008,ruser008,Do Thi R,receiver008@example.com,0911000008,CUSTOMER,VERIFIED,SAVING,15000000,VND
racc0009,ruser009,Do Thi S,receiver009@example.com,0911000009,CUSTOMER,VERIFIED,CHECKING,7100000,VND
racc0010,ruser010,Do Thi T,receiver010@example.com,0911000010,CUSTOMER,VERIFIED,CHECKING,9900000,VND
racc0011,ruser011,Do Thi U,receiver011@example.com,0911000011,CUSTOMER,VERIFIED,CHECKING,8600000,VND
racc0012,ruser012,Do Thi V,receiver012@example.com,0911000012,CUSTOMER,VERIFIED,SAVING,11200000,VND
racc0013,ruser013,Do Thi W,receiver013@example.com,0911000013,CUSTOMER,VERIFIED,CHECKING,9300000,VND
racc0014,ruser014,Do Thi X,receiver014@example.com,0911000014,CUSTOMER,VERIFIED,SAVING,14000000,VND
racc0015,ruser015,Do Thi Y,receiver015@example.com,0911000015,CUSTOMER,VERIFIED,CHECKING,6700000,VND
racc0016,ruser016,Do Thi Z,receiver016@example.com,0911000016,CUSTOMER,VERIFIED,CHECKING,12800000,VND
racc0017,ruser017,Vo Van A,receiver017@example.com,0911000017,CUSTOMER,VERIFIED,SAVING,11800000,VND
racc0018,ruser018,Vo Van B,receiver018@example.com,0911000018,CUSTOMER,VERIFIED,CHECKING,7200000,VND
racc0019,ruser019,Vo Van C,receiver019@example.com,0911000019,CUSTOMER,VERIFIED,CHECKING,8300000,VND
racc0020,ruser020,Vo Van D,receiver020@example.com,0911000020,CUSTOMER,VERIFIED,SAVING,15200000,VND

