accountId,ownerId,fullName,email,phone,role,kycStatus,accountType,balance,currency
acc0001,uid001,Nguyen Van A,uid001@example.com,0900000001,CUSTOMER,VERIFIED,CHECKING,12000000,VND
acc0002,uid002,Nguyen Van B,uid002@example.com,0900000002,CUSTOMER,VERIFIED,CHECKING,8500000,VND
acc0003,uid003,Nguyen Van C,uid003@example.com,0900000003,CUSTOMER,VERIFIED,SAVING,15000000,VND
acc0004,uid004,Nguyen Van D,uid004@example.com,0900000004,CUSTOMER,VERIFIED,MORTGAGE,200000000,VND
acc0005,uid005,Nguyen Van E,uid005@example.com,0900000005,CUSTOMER,VERIFIED,CHECKING,4300000,VND
acc0006,uid006,Nguyen Van F,uid006@example.com,0900000006,CUSTOMER,VERIFIED,SAVING,9000000,VND
acc0007,uid007,Nguyen Van G,uid007@example.com,0900000007,CUSTOMER,VERIFIED,CHECKING,12500000,VND
acc0008,uid008,Nguyen Van H,uid008@example.com,0900000008,CUSTOMER,VERIFIED,CHECKING,6700000,VND
acc0009,uid009,Nguyen Van I,uid009@example.com,0900000009,CUSTOMER,VERIFIED,SAVING,21000000,VND
acc0010,uid010,Nguyen Van J,uid010@example.com,0900000010,CUSTOMER,VERIFIED,CHECKING,5100000,VND
acc0011,uid011,Tran Thi A,uid011@example.com,0900000011,CUSTOMER,VERIFIED,CHECKING,9800000,VND
acc0012,uid012,Tran Thi B,uid012@example.com,0900000012,CUSTOMER,VERIFIED,SAVING,14000000,VND
acc0013,uid013,Tran Thi C,uid013@example.com,0900000013,CUSTOMER,VERIFIED,MORTGAGE,180000000,VND
acc0014,uid014,Tran Thi D,uid014@example.com,0900000014,CUSTOMER,VERIFIED,CHECKING,7600000,VND
acc0015,uid015,Tran Thi E,uid015@example.com,0900000015,CUSTOMER,VERIFIED,SAVING,11000000,VND
acc0016,uid016,Tran Thi F,uid016@example.com,0900000016,CUSTOMER,VERIFIED,CHECKING,4500000,VND
acc0017,uid017,Tran Thi G,uid017@example.com,0900000017,CUSTOMER,VERIFIED,CHECKING,8200000,VND
acc0018,uid018,Tran Thi H,uid018@example.com,0900000018,CUSTOMER,VERIFIED,SAVING,9500000,VND
acc0019,uid019,Tran Thi I,uid019@example.com,0900000019,CUSTOMER,VERIFIED,CHECKING,13400000,VND
acc0020,uid020,Tran Thi J,uid020@example.com,0900000020,CUSTOMER,VERIFIED,CHECKING,7200000,VND
acc0021,uid021,Le Van A,uid021@example.com,0900000021,CUSTOMER,VERIFIED,SAVING,12500000,VND
